url,lounge_type,lounge_row,displayIATA,airsideDesc,amenities,category_description,category_name,description,id,location_airside,location_terminal,location_terminalDirections,name,nonContingentAccess_accessAction,nonContingentAccess_cost_currency,nonContingentAccess_cost_price,nonContingentAccess_id,nonContingentAccess_isFreeAccess,nonContingentAccess_isNonContingent,nonContingentAccess_name,purchasable,rating_avg,rating_total,bookingLoungeId,displayPrice_currencyCode,displayPrice_price,location_latitude,location_longitude,nonContingentAccess_timeLimit,price_GBP,price_USD,productName,displayPrice_originalPrice
https://www.loungebuddy.co.uk/AAL?source=homepage/airports,regularLounges,0,AAL,(Inside Security),"Snacks, Spirits & Liquor, Beer & Wine, Wi-Fi, Flight Monitors, Newspapers & Magazines, TVs, Conference Rooms, Non-Smoking",,,,pmo6VDMStJ,1,Terminal 1,"After Tax Free zone, follow signs to level 1 where lounge is located.",Aalborg Airport Lounge,Pay for entry at the front desk,DKK,149,mj7O6hnuwd,0,1,Walk Up Entry,0,3.7,3,,,,,,,,,,
https://www.loungebuddy.co.uk/AAQ?source=homepage/airports,regularLounges,0,AAQ,(Inside Security),"Snacks, Spirits & Liquor, Wi-Fi, Flight Monitors, Newspapers & Magazines, TVs, Telephones, Non-Smoking, Beer & Wine",,,,Xz6w0vyOFR,1,Domestic Terminal,"After Passport Control and Security Checks, the lounge is located in the domestic area.",Business Lounge,,,,,,,,0,,0,,,,,,,,,,
https://www.loungebuddy.co.uk/AAQ?source=homepage/airports,regularLounges,1,AAQ,(Outside Security),"Spirits & Liquor, Wi-Fi, Newspapers & Magazines, TVs, Non-Smoking, Beer & Wine",,,,T2EXU2Zypd,0,Main Terminal,"1st Floor, right wing of terminal building",VIP Lounge,Pay for entry at the front desk,RUB,6500,0ZxtKix5cq,0,1,Walk Up Entry,0,,0,,,,,,,,,,
https://www.loungebuddy.co.uk/AAR?source=homepage/airports,regularLounges,0,AAR,(Inside Security),"Snacks, Beer & Wine, Wi-Fi, Flight Monitors, Newspapers & Magazines, TVs, Non-Smoking",,,,bauasnwl4p,1,Main Terminal,"Located at the far side of the departure lounge with tax free shopping to the left and the cafe to the right. The lounge entrance is via the stairs by the windows, between gates 2 and 3.",Aarhus Airport Executive Lounge,,,,,,,,0,,0,,,,,,,,,,
https://www.loungebuddy.co.uk/ABA?source=homepage/airports,regularLounges,0,ABA,(Outside Security),"Premium Food, Snacks, Spirits & Liquor, Wi-Fi, Newspapers & Magazines, TVs, Internet Terminals, Printers & Copiers, Non-Smoking, Beer & Wine",,,,yJDfyRGqTW,0,Main Terminal,Departure Area,Abakan Airport Business Lounge,Pay for entry at the front desk,RUB,3000,GiMmvEcNou,0,1,Walk Up Entry,0,,0,,,,,,,,,,
https://www.loungebuddy.co.uk/ABJ?source=homepage/airports,regularLounges,0,ABJ,(Inside Security),"Premium Food, Snacks, Spirits & Liquor, Beer & Wine, Wi-Fi, Newspapers & Magazines, TVs, Internet Terminals, Smoking Area",,,"The Aeria Lounge features 400 square metres of comfortable space to relax and unwind in. Enjoy a refreshing drink at the VIP bar, or catch up on the latest news with a variety of national and international press.",AdG10AaT42,1,Main Terminal,"After security, go through the duty free shop, then up a few steps. Entrance is in the right hand corner of the public lounge/bar.",Aeria Lounge,Pay for entry at the front desk,CFA,30000,Obn2fRJ2Mp,0,1,Walk Up Entry,0,2.4,5,,,,,,,,,,
https://www.loungebuddy.co.uk/ABV?source=homepage/airports,regularLounges,0,ABV,(Outside Security),"Snacks, Spirits & Liquor, Wi-Fi, Showers, Flight Monitors, Newspapers & Magazines, TVs, Internet Terminals, Non-Smoking, Beer & Wine",,,,CDglolIxrL,0,Domestic Terminal,"Module D Wing, 1st Floor. The lounge is located on the right hand side.",Airspace Lounge,,,,,,,,0,,0,,,,,,,,,,
https://www.loungebuddy.co.uk/ABV?source=homepage/airports,regularLounges,1,ABV,(Inside Security),"Snacks, Spirits & Liquor, Beer & Wine, Wi-Fi, Newspapers & Magazines, TVs, Internet Terminals, Telephones, Non-Smoking",,,,UQx7O56HVC,1,Domestic Terminal,Located on the Departure Hall's 2nd floor.,@9tysix Lounge,,,,,,,,0,,0,,,,,,,,,,
https://www.loungebuddy.co.uk/ABV?source=homepage/airports,regularLounges,2,ABV,(Inside Security),"Snacks, Spirits & Liquor, Wi-Fi, Flight Monitors, Newspapers & Magazines, TVs, Telephones, Non-Smoking, Beer & Wine",,,,CWsvVUwndG,1,Domestic Terminal,"After security, on the right side, opposite the boarding gate",Lounge One,,,,,,,,0,2,2,,,,,,,,,,
https://www.loungebuddy.co.uk/AGS?source=homepage/airports,regularLounges,0,AGS,(Inside Security),"Snacks, Wi-Fi, TVs, Non-Smoking",,,,W82GrA9RUd,1,Main Terminal,Departure Area,Elite Suite,,,,,,,,0,,0,,,,,,,,,,
